Violation Charged Code,Violation Description,Violation Year,Violation Month,Violation Day of Week,Age at Violation,Gender,State of License,Police Agency,Court,Source
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,4,MONDAY,61,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
416,USE/LOANED DEALER PLATES MORE 5 DAY,2019,4,WEDNESDAY,40,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,54,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,54,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,22,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,22,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,TUESDAY,22,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,12,FRIDAY,22,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,12,WEDNESDAY,28,M,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,1,WEDNESDAY,63,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,2,WEDNESDAY,32,F,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,2,WEDNESDAY,44,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,4,TUESDAY,65,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,4,TUESDAY,23,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,9,FRIDAY,60,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,11,SUNDAY,29,M,CONNECTICUT,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,12,SUNDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A4,NO/INADEQUATE PLATE LAMPS,2019,12,SUNDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4013,FAILED TO CHANGE ADDRESS/REG,2019,12,SUNDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
306B,UNINSPECTED MOTOR VEHICLE,2019,12,SUNDAY,39,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011AG,UNREG VEH > 60 DAYS,2019,1,MONDAY,53,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A4,NO/INADEQUATE PLATE LAMPS,2019,1,MONDAY,53,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,1,MONDAY,53,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,1,MONDAY,56,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,1,MONDAY,27,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,3,MONDAY,33,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,3,SATURDAY,60,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,6,MONDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,3,SATURDAY,38,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,3,SATURDAY,38,M,NEW JERSEY,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,27,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,45,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A3,REAR SIDE WINDOWS NON/TRANSPARENT,2019,5,SUNDAY,32,M,NEW YORK,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,45,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,4,TUESDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,4,TUESDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4024,IMPROPER PLATES,2019,4,TUESDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,4,TUESDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A3,NO/INSUFFICIENT TAIL LAMPS,2019,4,TUESDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,SUNDAY,20,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,WEDNESDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A3,REAR SIDE WINDOWS NON/TRANSPARENT,2019,5,WEDNESDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,TUESDAY,27,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,SUNDAY,32,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
306B,UNINSPECTED MOTOR VEHICLE,2019,5,SUNDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4013,FAILED TO CHANGE ADDRESS/REG,2019,5,SUNDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,SATURDAY,47,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,MONDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,6,MONDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,6,MONDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
4014,FAILURE TO PRODUCE LICENSE OR REGISTRATION DOCUMENTS,2019,5,TUESDAY,37,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,SATURDAY,47,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37535C,UNSAFE TIRE,2019,5,TUESDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37518,NO/INADEQUATE DIRECTIONAL SIGNALS,2019,5,TUESDAY,37,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,5,TUESDAY,37,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A3,NO/INSUFFICIENT TAIL LAMPS,2019,5,TUESDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,SATURDAY,47,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,5,SATURDAY,47,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1160B,IMPROPER LEFT TURN ON TWO-WAY RDWY,2019,6,SATURDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,5,SUNDAY,37,M,UNKNOWN,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
412A3,FLD PRESENT DOC -NYC,2019,5,TUESDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,7,MONDAY,23,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,8,SATURDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,5,TUESDAY,22,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,2,SUNDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,2,FRIDAY,53,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,1,MONDAY,53,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,2,SUNDAY,27,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
3752A4,NO/INADEQUATE PLATE LAMPS,2019,2,FRIDAY,53,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,2,FRIDAY,28,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,4,SUNDAY,18,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A4,NO/INADEQUATE PLATE LAMPS,2019,2,SATURDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5092,OPERATING OUT OF CLASS,2019,4,SUNDAY,18,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,4,MONDAY,26,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1160B,IMPROPER LEFT TURN ON TWO-WAY RDWY,2019,4,SUNDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,6,SUNDAY,42,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,3,TUESDAY,30,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,2,SUNDAY,51,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
38514,EXCEEDING BRIDGE CAPACITY/CLEARANCE,2019,11,THURSDAY,46,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,3,SUNDAY,59,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,SATURDAY,40,M,WASHINGTON,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,5,SATURDAY,56,M,NEW JERSEY,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1211A,BACKING UNSAFELY,2019,10,TUESDAY,67,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,12,WEDNESDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,12,WEDNESDAY,43,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,6,MONDAY,58,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,6,MONDAY,37,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,8,SATURDAY,42,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,6,MONDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,8,SATURDAY,38,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,10,MONDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,11,SATURDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,8,SATURDAY,42,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1211A,BACKING UNSAFELY,2019,12,SUNDAY,34,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,11,SATURDAY,57,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A3,NO/INSUFFICIENT TAIL LAMPS,2019,8,SUNDAY,57,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752C,UNAPPROVED LAMP,2019,10,MONDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,11,SATURDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,11,SATURDAY,24,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,11,MONDAY,41,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,11,MONDAY,45,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,11,MONDAY,45,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,12,SATURDAY,58,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
306B,UNINSPECTED MOTOR VEHICLE,2019,12,SATURDAY,58,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,12,SATURDAY,58,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,12,SUNDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,12,MONDAY,49,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,12,SUNDAY,41,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,12,SUNDAY,39,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
306B,UNINSPECTED MOTOR VEHICLE,2019,12,SATURDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A3,REAR SIDE WINDOWS NON/TRANSPARENT,2019,12,SATURDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A3,REAR SIDE WINDOWS NON/TRANSPARENT,2019,12,SATURDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,12,SUNDAY,34,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1128A,MOVED FROM LANE UNSAFELY/WEAVING,2019,12,TUESDAY,26,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,12,TUESDAY,55,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,12,MONDAY,62,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163B,INSUFF TURN SIGNAL-LESS THAN 100 FEET,2019,5,MONDAY,49,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1160A,IMPROPER RIGHT TURN,2019,5,TUESDAY,48,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1163B,INSUFF TURN SIGNAL-LESS THAN 100 FEET,2019,5,TUESDAY,57,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,5,FRIDAY,57,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37540B,INADEQUATE OR NO STOP LAMPS,2019,5,SATURDAY,32,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,5,FRIDAY,52,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,5,FRIDAY,54,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1229C3,NO SEAT BELT ADULT,2019,5,SATURDAY,32,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,THURSDAY,52,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1141,FLD TO YLD RT-OF-WAY ON LEFT TURN,2019,5,THURSDAY,56,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37540B,INADEQUATE OR NO STOP LAMPS,2019,5,FRIDAY,21,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,FRIDAY,52,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,6,THURSDAY,26,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1128A,MOVED FROM LANE UNSAFELY/WEAVING,2019,6,SATURDAY,53,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,6,SUNDAY,59,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,6,SUNDAY,38,M,WASHINGTON,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1160A,IMPROPER RIGHT TURN,2019,6,SATURDAY,48,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A,NO HEADLAMPS/INCLEMENT WEATHER,2019,6,MONDAY,52,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,11,MONDAY,23,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,SUNDAY,70,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1229C1C,BACK SEAT PASS AGE 8-15 NO/IMPROPR SEAT BELT,2019,6,SUNDAY,42,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,5,MONDAY,30,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,7,MONDAY,56,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,12,SUNDAY,48,M,WASHINGTON,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,3,SUNDAY,40,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,7,SATURDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A3,NO/INSUFFICIENT TAIL LAMPS,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4025,PERMITTING USE OF IMPROPER PLATES,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
412A3,FLD PRESENT DOC -NYC,2019,8,SUNDAY,19,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,3,SUNDAY,56,M,NEW YORK,PRINCETOWN STATE POLICE,QUEENS SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,3,MONDAY,49,M,ILLINOIS,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,3,MONDAY,49,M,ILLINOIS,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,1,SUNDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,1,SATURDAY,28,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,1,SATURDAY,19,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A3,REAR SIDE WINDOWS NON/TRANSPARENT,2019,1,SATURDAY,19,F,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A3,REAR SIDE WINDOWS NON/TRANSPARENT,2019,1,SATURDAY,28,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,1,SATURDAY,27,M,SOUTH CAROLINA,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
306B,UNINSPECTED MOTOR VEHICLE,2019,1,SUNDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
37512A4,REAR WINDOW REFLECTIVE,2019,3,TUESDAY,30,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5092,OPERATING OUT OF CLASS,2019,1,SUNDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,1,SATURDAY,64,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,2,THURSDAY,62,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,5,FRIDAY,22,M,NEW YORK,MTA POLICE DEPT HDQRS,BROOKLYN NORTH TVB,TVB
38514,EXCEEDING BRIDGE CAPACITY/CLEARANCE,2019,6,FRIDAY,60,M,VERMONT,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,3,MONDAY,25,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,10,TUESDAY,22,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
